id,name__nn,name__en,name__se,name__es,name__de,name__fr,name__nb,name__eo,name__nl,name__da,name__sv,name__hu,name,wikipedia__da,wikipedia__en,wikipedia__nn,wikipedia__no,wikipedia__se,image,gender,birth_date,identifier__freebase,given_name,identifier__storting,original_wikiname,death_date,wikipedia__de,wikipedia__sv,name__lb,name__zh,name__eu,name__pl,name__qu,name__ta,name__af,name__oc,name__ms,name__sw,name__et,name__el,name__bcl,name__ga,name__ar,name__pt,name__is,name__ru,name__sr,name__tr,name__fi,name__uk,name__be_tarask,name__io,name__kk,name__an,name__ko,name__he,name__be,name__yo,name__lv,name__it,name__gl,name__id,name__ja,name__vi,name__sh,name__ku,name__ro,name__ca,name__la,name__fo,name__cs,name__mr,name__bg,name__fa,name__lt,name__pt_br,name__lmo,name__en_gb,name__ka,name__sco,name__ml,name__hi,name__az,name__br,name__ie,name__hy,wikipedia__af,wikipedia__an,wikipedia__ar,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fawikiquote,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__ga,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nowikiquote,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sw,wikipedia__ta,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__BIBSYS,identifier__NNDB,identifier__Munzinger,identifier__GTAA,identifier__parlement,twitter,facebook,identifier__FAST,name__bs,wikipedia__bswikiquote,name__nds,name__cy,identifier__OLID,identifier__polsys,name__ceb,name__hr,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__vec,name__wa,name__gsw,website,identifier__wikitree,identifier__N6I,wikipedia__nowikisource,identifier__NTA,family_name,name__mg,wikipedia__mg,noble_title,identifier__bigenc_ru,identifier__PACE,identifier__CERL,name__ast,name__bar,name__bm,name__co,name__de_at,name__de_ch,name__en_ca,name__frc,name__frp,name__fur,name__gd,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sr_el,name__vls,name__vmf,name__vo,name__wo,name__zu,name__bn,name__mk,name__pdc,wikipedia__ast,wikipedia__bn,wikipedia__sk,identifier__NSK,name__ur,wikipedia__nnwikiquote,wikipedia__ur,identifier__NLAtrove,name__zh_hant,name__zh_cn,identifier__GNC,wikipedia__enwikisource,name__ty,name__sr_ec,name__diq,identifier__MusicBrainz,identifier__NKC,identifier__AlloCine,identifier__SFDb,identifier__kinopoisk,identifier__TED,identifier__Gutenberg,wikipedia__species,wikipedia__hy,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,identifier__Britannica,name__war,name__new,name__sa,wikipedia__new,wikipedia__ptwikiquote,wikipedia__sa,wikipedia__war,identifier__NLI,identifier__NPG,name__vep,wikipedia__vep,name__tl,name__ku_arab,name__ku_latn,name__ne,wikipedia__cy,wikipedia__eswikiquote,wikipedia__frwikiquote,wikipedia__hr,wikipedia__ia,wikipedia__sl,wikipedia__slwikiquote,wikipedia__tl,identifier__NDL,identifier__NLA,name__szl,wikipedia__szl,name__fit,name__kl,wikipedia__nds,wikipedia__sq,identifier__NUKAT,name__ch,name__jv,name__my,name__te,name__zh_mo,name__zh_my,name__th,name__arz,name__pa,wikipedia__arz,wikipedia__bs,wikipedia__jv,wikipedia__my,wikipedia__ne,wikipedia__pa,wikipedia__te,wikipedia__th,identifier__SELIBR,wikipedia__bar,name__frr,name__fy,name__hsb,name__dsb,name__eml,name__as,name__lad,name__aa,name__ak,name__aln,name__ang,name__arn,name__ay,name__bi,name__bjn,name__brh,name__cbk_zam,name__cdo,name__cho,name__chr,name__chy,name__cr,name__crh_latn,name__csb,name__dtp,name__ee,name__ext,name__ff,name__fj,name__gag,name__gn,name__got,name__ha,name__hak,name__haw,name__hif,name__hif_latn,name__ho,name__ht,name__hz,name__ig,name__ik,name__ike_cans,name__ike_latn,name__ilo,name__iu,name__jbo,name__kaa,name__ki,name__kj,name__kk_latn,name__kk_kz,name__kk_tr,name__kr,name__krj,name__ksh,name__lg,name__ln,name__loz,name__ltg,name__lus,name__lzz,name__map_bms,name__mi,name__mt,name__mus,name__mwl,name__na,name__nah,name__ng,name__nl_informal,name__nov,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pdt,name__pfl,name__pih,name__qug,name__rif,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq,name__ruq_latn,name__rw,name__sat,name__sdc,name__sei,name__sg,name__sgs,name__shi,name__shi_latn,name__sli,name__sm,name__sma,name__sn,name__so,name__srn,name__st,name__stq,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__tokipona,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ug_latn,name__uz,name__ve,name__vot,name__xh,name__za,name__zea,occupation,wikipedia__hsb,identifier__ne_se,name__tt,identifier__snac,name__sje,name__smj,wikipedia__zh_min_nan,name__ace,name__egl,name__gv,name__hil,name__su,name__nan,identifier__quora,identifier__persee,wikipedia__itwikiquote,wikipedia__dewikinews,wikipedia__mai,electoral_district,name__mai,identifier__google_knowledge,wikipedia__hrwikiquote,weblog,identifier__NLP,identifier__zbMATH,identifier__CONOR,wikipedia__zh_yue,wikipedia__mk,wikipedia__uz,name__lfn,name__yue,married_name,wikipedia__wuu,name__wuu,instagram,email,identifier__BNE,wikipedia__azb,identifier__LNB,identifier__MGP,name__ps,name__lzh,identifier__nlg,name__azb,name__no,identifier__DBNL,identifier__SBN_it,identifier__elonet,identifier__DNF,identifier__PORT,identifier__allmovie,wikipedia__pnb,wikipedia__tt
Q11979047,John S. Tveit,John S. Tveit,John S. Tveit,,John S. Tveit,John S. Tveit,John S. Tveit,,John S. Tveit,John S. Tveit,John S. Tveit,,John S. Tveit,,John S. Tveit,John S. Tveit,John S. Tveit,,,male,1931-12-18,,John,JOTV,,,,,,,,,,,,,,John S. Tveit,,,,,,,John S. Tveit,,,,,,,,,,,,,,,,,,,,,,,,,John S. Tveit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817,,,,,,John S. Tveit,,,,,,,,,,Tveit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John S. Tveit,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,John S. Tveit,John S. Tveit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11979192,Jon Tørset,Jon Tørset,Jon Tørset,,Jon Tørset,Jon Tørset,Jon Tørset,,Jon Tørset,Jon Tørset,Jon Tørset,,Jon Tørset,,Jon Tørset,,Jon Tørset,,,male,1940-07-08,,Jon,JOT,,,,,,,,,,,,,,Jon Tørset,,,,,,,Jon Tørset,,,,,,,,,,,,,,,,,,,,,,,,,Jon Tørset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26537,,,,,,Jon Tørset,,,,,,,,,,Tørset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jon Tørset,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Jon Tørset,Jon Tørset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11979581,Just Hjalmar Johansen,Just Hjalmar Johansen,Just Hjalmar Johansen,,Just Hjalmar Johansen,Just Hjalmar Johansen,Just Hjalmar Johansen,,Just Hjalmar Johansen,Just Hjalmar Johansen,Just Hjalmar Johansen,,Just Hjalmar Johansen,,,,Just Hjalmar Johansen,,,male,1956-06-18,,Just,JUJ,,,,,,,,,,,,,,Just Hjalmar Johansen,,,,,,,Just Hjalmar Johansen,,,,,,,,,,,,,,,,,,,,,,,,,Just Hjalmar Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30455,,,,,,Just Hjalmar Johansen,,,,,,,,,,Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just Hjalmar Johansen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Just Hjalmar Johansen,Just Hjalmar Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11979720,Jørgen Vogt,Jørgen Vogt,Jørgen Vogt,,Jørgen Vogt,Jørgen Vogt,Jørgen Vogt,,Jørgen Vogt,Jørgen Vogt,Jørgen Vogt,,Jørgen Vogt,,Jørgen Vogt,,Jørgen Vogt,,,male,1900-09-23,,Jørgen,J_OVO,,1972-08-03,,,,,,,,,,,,Jørgen Vogt,,,,,,,Jørgen Vogt,,,,,,,,,,,,,,,,,,,,,,,,,Jørgen Vogt,,,,,,,,,იორგენ ფოგტი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,Jørgen Vogt,,,,,,,,,,Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jørgen Vogt,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Jørgen Vogt,Jørgen Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11980167,,Kari Brudevoll,,,,Kari Brudevoll,Kari Brudevoll,,Kari Brudevoll,,,,Kari Brudevoll,,,,Kari Brudevoll,,,female,1938-08-04,,Kari,KBRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2181,,,,,,Kari Brudevoll,,,,,,,,,,Brudevoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11980177,Kari Kolbræk Ask,Kari Kolbræk Ask,,,Kari Kolbræk Ask,Kari Kolbræk Ask,Kari Kolbræk Ask,,,Kari Kolbræk Ask,Kari Kolbræk Ask,,Kari Kolbræk Ask,,,Kari Kolbræk Ask,Kari Kolbræk Ask,,,female,1949-05-02,,Kari,KAMA,,,,,,,,,,,,,,,,,,,,,,Кари Кольбрек Аск,,,,,,,,,,,,,,,,,,,,,,,,Kari Kolbræk Ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31473,,,,,,Kari Kolbræk Ask,,,,,,,,,,Ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kari Kolbræk Ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11980215,Karin Kjølmoen,Karin Kjølmoen,Karin Kjølmoen,,Karin Kjølmoen,Karin Kjølmoen,Karin Kjølmoen,,Karin Kjølmoen,Karin Kjølmoen,Karin Kjølmoen,,Karin Kjølmoen,,Karin Kjølmoen,,Karin Kjølmoen,,,female,1946-02-08,,Karin,KARK,,,,,,,,,,,,,,Karin Kjølmoen,,,,,,,Karin Kjølmoen,,,,,,,,,,,,,,,,,,,,,,,,,Karin Kjølmoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088,,,,,,Karin Kjølmoen,,,,,,,,,,Kjølmoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karin Kjølmoen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Karin Kjølmoen,Karin Kjølmoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11980525,Kent Gudmundsen,Kent Gudmundsen,Kent Gudmundsen,Kent Gudmundsen,Kent Gudmundsen,Kent Gudmundsen,Kent Gudmundsen,,Kent Gudmundsen,Kent Gudmundsen,Kent Gudmundsen,Kent Gudmundsen,Kent Gudmundsen,,Kent Gudmundsen,Kent Gudmundsen,Kent Gudmundsen,,https://upload.wikimedia.org/wikipedia/commons/5/53/Kent_Gudmundsen_(2017-03-11_bilde01).jpg,male,1978-04-05,,Kent,KEG,,,,,,,,,,,,,,Kent Gudmundsen,,,,,,,Kent Gudmundsen,,,,,,,,,,,,,,,,,,,,,,,,,Kent Gudmundsen,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Kent Gudmundsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30027,,,,,,Kent Gudmundsen,,,,,,,,,,Gudmundsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kent Gudmundsen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Kent Gudmundsen,Kent Gudmundsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11980804,,Kjartan Berland,,,Kjartan Berland,Kjartan Berland,Kjartan Berland,,Kjartan Berland,,,,Kjartan Berland,,Kjartan Berland,,Kjartan Berland,,,male,1972-09-28,,Kjartan,KBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31729,,,,,,Kjartan Berland,,,,,,,,,,Berland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11980838,Kjell Furnes,Kjell Furnes,Kjell Furnes,,Kjell Furnes,Kjell Furnes,Kjell Furnes,,Kjell Furnes,Kjell Furnes,Kjell Furnes,,Kjell Furnes,,Kjell Furnes,,Kjell Furnes,,https://upload.wikimedia.org/wikipedia/commons/8/8a/Kjell_Furnes.jpg,male,1936-06-21,,Kjell,KJFU,,,,,,,,,,,,,,Kjell Furnes,,,,,,,Kjell Furnes,,,,,,,,,,,,,,,,,,,,,,,,,Kjell Furnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0003 6259 6893,228009179,,,,,,,,,,,,,,,,,,,222,,,,,,Kjell Furnes,,,,,,,,,,Furnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kjell Furnes,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Kjell Furnes,Kjell Furnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11981289,Knut Espeland,Knut Espeland,,,Knut Espeland,Knut Espeland,Knut Espeland,,Knut Espeland,Knut Espeland,Knut Espeland,,Knut Espeland,,,Knut Espeland,Knut Espeland,,,male,1963,,Knut,KNUE,,,,,,,,,,,,,,,,,,,,,,Кнут Эспеланд,,,,,,,,,,,,,,,,,,,,,,,,Knut Espeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31782,,,,,,Knut Espeland,,,,,,,,,,Espeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knut Espeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11982043,Kristian Birger Gundersen,Kristian Birger Gundersen,Kristian Birger Gundersen,,Kristian Birger Gundersen,Kristian Birger Gundersen,Kristian Birger Gundersen,,Kristian Birger Gundersen,Kristian Birger Gundersen,Kristian Birger Gundersen,,Kristian Birger Gundersen,,Kristian Birger Gundersen,,Kristian Gundersen (1907–1977),,,male,1907-10-19,,Kristian,KBG,,1977-05-27,,,,,,,,,,,,Kristian Birger Gundersen,,,,,,,Kristian Birger Gundersen,,,,,,,,,,,,,,,Kristian Gundersen,,,,,,,,,,Kristian Birger Gundersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristian Birger Gundersen,,,,,,,,,,Gundersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristian Birger Gundersen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Kristian Birger Gundersen,Kristian Birger Gundersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11982972,Laila Davidsen,Laila Davidsen,Laila Davidsen,,Laila Davidsen,Laila Davidsen,Laila Davidsen,,Laila Davidsen,Laila Davidsen,Laila Davidsen,,Laila Davidsen,,Laila Davidsen,Laila Davidsen,Laila Davidsen,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Laila_Davidsen_(2017-03-11_bilde01).jpg,female,1974-01-28,,Laila,LAD,,,,,,,,,,,,,,Laila Davidsen,,,,,,,Laila Davidsen,,,,,,,,,,,,,,,Laila Davidsen,,,,,,,,,,Laila Davidsen,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Laila Davidsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31493,,,,,,Laila Davidsen,,,,,,,,,,Davidsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laila Davidsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laila Davidsen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Laila Davidsen,Laila Davidsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11983356,Lars Velsand,Lars Velsand,Lars Velsand,,Lars Velsand,Lars Velsand,Lars Velsand,,Lars Velsand,Lars Velsand,Lars Velsand,,Lars Velsand,,Lars Velsand,Lars Velsand,Lars Velsand,,,male,1941-09-09,,Lars,LAVE,,,,,,,,,,,,,,Lars Velsand,,,,,,,Lars Velsand,,,,,,,,,,,,,,,Lars Velsand,,,,,,,,,,Lars Velsand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,,,,,,Lars Velsand,,,,,,,,,,Velsand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lars Velsand,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Lars Velsand,Lars Velsand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11983410,Lasse Juliussen,Lasse Juliussen,Lasse Juliussen,,Lasse Juliussen,Lasse Juliussen,Lasse Juliussen,,Lasse Juliussen,Lasse Juliussen,Lasse Juliussen,,Lasse Juliussen,,Lasse Juliussen,,Lasse Juliussen,,,male,1986-01-14,,Lasse,LAJ,,,,,,,,,,,,,,Lasse Juliussen,,,,,,,Lasse Juliussen,,,,,,,,,,,,,,,,,,,,,,,,,Lasse Juliussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31494,,,,,,Lasse Juliussen,,,,,,,,,,Juliussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasse Juliussen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Lasse Juliussen,Lasse Juliussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
