id,name__pt,name__en,name__de,name__it,name__fr,name,wikipedia__pt,gender,birth_date,death_date,given_name,original_wikiname,name__nb,name__da,name__nn,name__sv,website,name__es,wikipedia__en,identifier__ISNI,identifier__VIAF,name__pl,name__ro,wikipedia__pl,wikipedia__ro,identifier__EuroparlMEP,name__uk,name__nl,name__cs,wikipedia__commons,wikipedia__cs,wikipedia__de,wikipedia__es,wikipedia__fa,wikipedia__fr,wikipedia__it,wikipedia__nl,wikipedia__no,wikipedia__sv,wikipedia__uk,image,identifier__GTAA,identifier__parlement,identifier__BNF,identifier__SUDOC,identifier__freebase,name__fi,wikipedia__fi,identifier__LCAuth,name__ca,name__oc,name__tr,wikipedia__tr,identifier__GND,family_name,name__ru,wikipedia__ru,name__et,wikipedia__et,name__gl,name__zh,wikipedia__gl,wikipedia__zh,name__ar,name__be,name__bg,name__el,name__eo,name__eu,name__ga,name__gv,name__he,name__hi,name__hr,name__hu,name__id,name__io,name__ja,name__ka,name__ko,name__la,name__lb,name__li,name__lt,name__lv,name__mn,name__ms,name__roa_tara,name__scn,name__sk,name__sl,name__sr,name__tk,name__vi,name__war,name__fa,name__an,name__sco,name__sgs,wikipedia__an,wikipedia__ar,wikipedia__bat_smg,wikipedia__be,wikipedia__bg,wikipedia__bgwikiquote,wikipedia__ca,wikipedia__cswikiquote,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__eu,wikipedia__fiwikiquote,wikipedia__frwikinews,wikipedia__frwikiquote,wikipedia__ga,wikipedia__gv,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__itwikiquote,wikipedia__itwikisource,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__li,wikipedia__lt,wikipedia__lv,wikipedia__mn,wikipedia__ms,wikipedia__nn,wikipedia__oc,wikipedia__plwikiquote,wikipedia__roa_tara,wikipedia__ruwikinews,wikipedia__scn,wikipedia__sco,wikipedia__sk,wikipedia__sl,wikipedia__sr,wikipedia__tk,wikipedia__ukwikiquote,wikipedia__vi,wikipedia__war,identifier__NTA,identifier__CANTIC,name__tet,name__hy,wikipedia__hy,wikipedia__tet,name__en_ca,name__en_gb,name__pt_br,name__mr,name__sw,wikipedia__mr,wikipedia__sw,identifier__NLA,identifier__MusicBrainz,identifier__SELIBR,identifier__BNE,identifier__PTBNP,identifier__BAV,identifier__discogs,name__cy,wikipedia__glwikiquote,identifier__FAST,name__af,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__frc,name__frp,name__fur,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__lij,name__mg,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__is,name__min,name__sr_el,name__pa,wikipedia__br,wikipedia__pa,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__qu,wikipedia__mg,wikipedia__qu,identifier__NNDB,identifier__Munzinger,name__ty,name__my,name__az,name__yo,name__ku,name__ext,name__ltg,name__bs,wikipedia__az,wikipedia__bs,wikipedia__ext,wikipedia__ie,wikipedia__is,wikipedia__ku,wikipedia__ltg,wikipedia__my,wikipedia__simple,wikipedia__ty,wikipedia__vo,wikipedia__yo,identifier__IMDB,identifier__SBN_it,name__mwl,wikipedia__mwl,name__sh,name__sr_ec,wikipedia__enwikisource,wikipedia__ptwikiquote,wikipedia__sh,identifier__OLID,name__tl,wikipedia__tl,wikipedia__rm,wikipedia__enwikiquote,identifier__britishmuseum,identifier__NKC,identifier__NUKAT,last_seen,identifier__TED,identifier__senate_nl,identifier__PACE,identifier__Britannica,identifier__NLI,wikipedia__hsb,name__hsb,wikipedia__eswikiquote,name__fo,name__kl,name__ky,wikipedia__ky,wikipedia__th,name__th,name__lmo,name__ba,name__si,name__bn,wikipedia__ba,wikipedia__bn,wikipedia__lmo,wikipedia__si,name__xmf,wikipedia__xmf,identifier__GNC,identifier__Gutenberg,occupation,name__ml,wikipedia__ml,wikipedia__ckb,wikipedia__ta,facebook,identifier__google_knowledge,name__mk,name__azb,name__ckb,name__sq,name__ta,wikipedia__azb,wikipedia__sq,wikipedia__uz,identifier__nlg,name__uz,wikipedia__tt,wikipedia__zh_yue,name__tt,identifier__ne_se,identifier__ORCID,name__yue,wikipedia__bewikiquote,wikipedia__nds,twitter,wikipedia__als,wikipedia__kk,wikipedia__fawikiquote,wikipedia__cy,name__kk,wikipedia__gom,wikipedia__ur,identifier__snac,wikipedia__eswikinews,name__ne,name__ur,wikipedia__ne,name__gom,wikipedia__af,wikipedia__arz,name__arz,wikipedia__zh_min_nan,name__nan,wikipedia__mai,identifier__persee,name__mai,identifier__BVMC,identifier__BBC_things,wikipedia__frr,name__frr
Q1389840,,José Luis da Cruz Vilaça,José Luís da Cruz Vilaça,,José Luís da Cruz Vilaça,José Luís da Cruz Vilaça,,male,1944-09-20,,José,José Luís da Cruz Vilaça,,,,,,José Luis da Cruz Vilaça,,,77549816,,,,,,,José Luís da Cruz Vilaça,,,,José Luís da Cruz Vilaça,,,,,,,,,,,,,,,,,no97001231,,,,,114119155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jurist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1442096,Francisco Louçã,Francisco Louçã,Francisco Louçã,,Francisco Louçã,Francisco Louçã,Francisco Louçã,male,1956-11-12,,Francisco,Francisco Louçã,Francisco Louçã,Francisco Louçã,Francisco Louçã,Francisco Louçã,,Francisco Louçã,Francisco Louçã,0000 0001 1579 0701,27208938,Francisco Louçã,,Francisco Louçã,,,,Francisco Louçã,,Category:Francisco Louçã,,Francisco Louçã,Francisco Louçã,,Francisco Louçã,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f6/Francisco_Louçã_na_VI_Convenção_Nacional_do_Bloco_de_Esquerda_01_cropped.jpg,,,13193316j,035504412,/m/05ggbz,,,n84161517,,,,,12477024X,,"Лоуса, Франсишку","Лоуса, Франсишку",,,,弗朗西斯科·洛索,,,,,,,,,,,,,,Francisco Louçã,,,フランシシュク・ローサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,0000-0001-9661-6157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1518240,Ana Drago,Ana Drago,Ana Drago,,Ana Drago,Ana Drago,Ana Drago,female,1975-08-28,,Ana,Ana Drago,,,,,,Ana Drago,Ana Drago,0000 0003 6741 8033,232201025,,,,,,,Ana Drago,,,,,,,Ana Drago,,,,,,,,,,,/m/0vsfqfx,,,nb2005005195,,,,,,,,,,,Ana Drago,,Ana Drago,,,,,,,,,,,,,Ana Drago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1555060,José Pedro Aguiar-Branco,José Pedro Aguiar-Branco,José Pedro Aguiar Branco,,José Pedro Aguiar-Branco,José Pedro Aguiar-Branco,José Pedro Aguiar-Branco,male,1957-07-18,,José,José Pedro Aguiar-Branco,José Pedro Aguiar-Branco,José Pedro Aguiar-Branco,José Pedro Aguiar-Branco,José Pedro Aguiar Branco,,José Pedro Aguiar-Branco,José Pedro Aguiar-Branco,,43075080,José Pedro Aguiar-Branco,,José Pedro Aguiar-Branco,,,,José Pedro Aguiar-Branco,,,,José Pedro Aguiar Branco,José Pedro Aguiar-Branco,,José Pedro Aguiar-Branco,,,,José Pedro Aguiar Branco,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Panetta_y_Aguiar-Branco.jpg,,,,,/m/0djsw4j,,,n00104870,,,José Pedro Aguiar-Branco,José Pedro Aguiar-Branco,,,,,,,,,,,,,,,,,,,,,,José Pedro Aguiar-Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q156781,Mário Soares,Mário Soares,Mário Soares,Mário Soares,Mário Soares,Mário Soares,Mário Soares,male,1924-12-07,2017-01-07,Mário,Mário Soares,Mário Soares,Mário Soares,Mário Soares,Mário Soares,,Mário Soares,Mário Soares,0000 0001 0865 9211,5723795,Mário Soares,Mário Soares,Mário Soares,Mário Soares,4443,Маріу Соареш,Mário Soares,Mário Alberto Nobre Lopes Soares,Category:Mário Soares,Mário Soares,Mário Soares,Mário Soares,ماریو سوارز,Mário Soares,Mário Soares,Mário Soares,Mário Soares,Mário Soares,Маріу Суареш,https://upload.wikimedia.org/wikipedia/commons/0/03/Mário_Soares_(2003)_portrait.jpg,,,119250594,027142361,/m/01_1cm,Mário Soares,Mário Soares,n50016646,Mário Soares,Mário Soares,Mário Soares,Mário Soares,118615157,Soares,"Суариш, Мариу","Суариш, Мариу",,,Mário Soares,马里奥·苏亚雷斯,Mário Soares,马里奥·苏亚雷斯,ماريو سواريز,Марыу Суарыш,,Μάριο Σοάρες,,Mário Soares,,,מריו סוארש,,,Mário Soares,Mário Soares,Mário Soares,マリオ・ソアレス,,마리우 소아르스,Marius Soares,Mário Soares,,Mário Soares,,,,,,,,Марио Суареш,,,Mário Soares,ماریو سوارز,,,,,ماريو سواريز,,Марыу Суарыш,,,Mário Soares,Mário Soares,Mário Soares,Μάριο Σοάρες,,Mário Soares,,,,,,מריו סוארש,,,Mário Soares,Mário Soares,Mário Soares,,,マリオ・ソアレス,,마리우 소아르스,Marius Soares,Mário Soares,,Mário Soares,,,,Mário Soares,Mário Soares,Mário Soares,,,,,,,Марио Суареш,,,,Mário Soares,071975845,a12079157,,,,,Mário Soares,Mário Soares,Mário Soares,,,,,35509499,,250032,XX838580,11,,,Mário Soares,,5219,,,,,Mário Soares,,,Mário Soares,,,,,,,,,,,,,,,,,,,,,,Mário Soares,,,,,,,,,,,,,Mário Soares,,马里奥·苏亚雷斯,馬里奧·蘇亞雷斯,馬里奧·蘇亞雷斯,马里奥·苏亚雷斯,马里奥·苏亚雷斯,馬里奧·蘇亞雷斯,Mário Soares,,Mário Soares,700/000111367,00000013944,,,,,,,,,,,,,,,,,Mário Soares,,,,,,,,,,,Mário Soares,,,,,Mário Soares,,,skuk0001296,n01030998,,,,,,,Mário Soares,Mário Soares,,,,,,มารีอู ซูอารึช,มารีอู ซูอารึช,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mário Soares,,,,,,,,,,,,,,,,,,,,,
Q1580316,António José Seguro,António José Seguro,António José Seguro,,António José Seguro,António José Seguro,António José Seguro,male,1962-03-11,,António,António José Martins Seguro,António José Seguro,António José Seguro,António José Seguro,António José Seguro,,António José Seguro,António José Seguro,,,António José Seguro,,António José Seguro,,4444,,António José Seguro,,,,António José Seguro,António José Seguro,,António José Seguro,,,,António José Seguro,,https://upload.wikimedia.org/wikipedia/commons/8/81/António_Guterres.jpg,,,,,/m/0jkz76y,,,,,,,,,,,,,,,,,,,,,,,,,,אנטוניו חוזה סגורו,,,António José Seguro,,,アントニオ・ジョゼ・セグーロ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15833722,,Manuel Seabra,Manuel Seabra,Manuel Seabra,Manuel Seabra,Manuel Seabra,,male,1962-07-28,2014-01-01,Manuel,Manuel Seabra,,,,,,,,,306478796,,,,,,,Manuel Seabra,,,,Manuel Seabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15849,Durão Barroso,José Manuel Barroso,José Manuel Barroso,José Manuel Durão Barroso,José Manuel Barroso,Durão Barroso,José Manuel Durão Barroso,male,1956-03-23,,José,José Manuel Durão Barroso,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Durão Barroso,José Manuel Barroso,http://ec.europa.eu/commission_barroso/president/index_en.htm,José Manuel Durão Barroso,José Manuel Barroso,0000 0001 2127 6821,34770967,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Durão Barroso,José Manuel Barroso,,Жозе Мануел Дурау Баррозу,José Manuel Barroso,José Manuel Durão Barroso,Category:José Manuel Barroso,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Durão Barroso,ژوزه مانوئل باروزو,José Manuel Durão Barroso,José Barroso,José Manuel Barroso,José Manuel Durão Barroso,José Manuel Barroso,Жозе Мануел Дурау Баррозу,https://upload.wikimedia.org/wikipedia/commons/f/fc/José_Manuel_Barroso_MEDEF_2.jpg,,vgu01axw2znb,15567716z,076523500,/m/01zps5,José Manuel Barroso,José Manuel Barroso,n87889829,José Manuel Durão Barroso,José Manuel Barroso,Durão Barroso,José Manuel Barroso,129960004,,Жозе Мануэл Баррозу,"Баррозу, Жозе Мануэл",José Manuel Durão Barroso,José Manuel Durão Barroso,José Manuel Durão Barroso,若泽·曼努埃尔·巴罗佐,José Manuel Durão Barroso,若泽·曼努埃尔·巴罗佐,دوراو باروسو,Жазэ Мануэл Барозу,Жозе Мануел Барозо,Ζοζέ Μανουέλ Μπαρόζο,José Manuel Durão Barroso,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Barroso,ז'וזה מנואל ברוזו,जोसे मैनुअल बरासो,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Barroso,José Manuel Durão Barroso,ジョゼ・マヌエル・ドゥラン・バローゾ,ჟოზე მანუელ ბაროზუ,조제 마누엘 두랑 바호주,Iosephus Manuel Durão Barroso,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Barroso,Žuze Manuels Barozu,Хосе Мануэл Барросо,José Manuel Barroso,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Barroso,José Manuel Durão Barroso,Жозе Мануел Барозо,Žoze Manuel Barrozu,José Manuel Barroso,José Manuel Barroso,ژوزه مانوئل باروزو,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Barroso,José Manuel Durão Barroso,دوراو باروسو,José Manuel Barroso,Жазэ Мануэл Барозу,Жозе Мануел Барозо,Жозе Мануел Барозо,José Manuel Durão Barroso,José Manuel Durão Barroso,José Manuel Barroso,Ζοζέ Μανουέλ Μπαρόζο,José Manuel Durão Barroso,José Manuel Durão Barroso,José Manuel Barroso,Catégorie:José Manuel Barroso,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Barroso,ז'וזה מנואל ברוזו,जोसे मैनुअल बरासो,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Barroso,José Manuel Durão Barroso,José Manuel Durão Barroso,Autore:José Manuel Durão Barroso,ジョゼ・マヌエル・ドゥラン・バローゾ,ჟოზე მანუელ ბაროზუ,조제 마누엘 두랑 바호주,Iosephus Manuel Barroso,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Barroso,Žuze Manuels Barozu,Хосе Мануэл Барросо,José Manuel Barroso,José Manuel Durão Barroso,José Manuel Barroso,José Manuel Durão Barroso,José Manuel Durão Barroso,Категория:Жозе Мануэл Баррозу,José Manuel Barroso,José Manuel Barroso,José Manuel Barroso,José Manuel Durão Barroso,Жозе Мануел Барозо,Žoze Manuel Barrozu,Жозе Мануел Дурау Баррозу,José Manuel Barroso,José Manuel Barroso,071005587,a10960685,,Ժոզե Մանուել Բարրոզու,Ժոզե Մանուել Բարրոզու,,,,,,,,,,,,,,,,,,,,,,,,,,José Manuel Barroso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961/000050811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Manuel Durão Barroso,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,佐沙·曼維·巴羅佐,,,,佐沙·曼維·巴羅佐,,,,,,,,,,,,Categoría:José Manuel Durão Barroso,,,,,,,,,,,,,,,,
Q1593180,,João of,João Portugal,,João of,João Portugal,,male,1977-10-01,,João,João Portugal (Politiker),,,,,,,,,,,,,,,,João of,,,,João Portugal (Politiker),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15980671,Carlos Zorrinho,Carlos Zorrinho,Carlos Zorrinho,,Carlos Zorrinho,Carlos Zorrinho,Carlos Zorrinho,male,1959-05-28,,Carlos,Carlos Zorrinho,,,,,,José Carlos das Dôres Zorrinho,Carlos Zorrinho,0000 0000 6706 7809,50455714,Carlos Zorrinho,,Carlos Zorrinho,,124739,,Carlos Zorrinho,,,,Carlos Zorrinho,,,Carlos Zorrinho,,,,,,,,,,,,,,n00037694,,,,,1057606723,,,,,,,,,,,,,,,,,,,,,José Carlos das Dôres Zorrinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16143885,Agostinho Branquinho,Agostinho Branquinho,Agostinho Branquinho,Agostinho Branquinho,Agostinho Branquinho,Agostinho Branquinho,Agostinho Branquinho,male,,,Agostinho,Agostinho Branquinho,,,,,,,,,,,,,,,,Agostinho Branquinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16336375,Alfredo Barroso,Alfredo Barroso,Alfredo Barroso,Alfredo Barroso,Alfredo Barroso,Alfredo Barroso,Alfredo Barroso,male,1945-01-21,,Alfredo,Alfredo Barroso,,,,,,,,,,,,,,,,Alfredo Barroso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16336718,António Figueiredo Lopes,António Figueiredo Lopes,António Figueiredo Lopes,,António Figueiredo Lopes,António Figueiredo Lopes,António Figueiredo Lopes,male,1936-11-21,,António,António Figueiredo Lopes,,,,,,,,,,,,,,,,António Figueiredo Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16336748,António Pires de Lima,António Pires de Lima,António Pires de Lima,,António Pires de Lima,António Pires de Lima,António Pires de Lima,male,1962-04-07,,António,António Pires de Lima,,,,,,,,,,António Pires de Lima,,António Pires de Lima,,,,António Pires de Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16336820,Augusto Ferreira do Amaral,Augusto Ferreira do Amaral,Augusto Ferreira do Amaral,Augusto Ferreira do Amaral,Augusto Ferreira do Amaral,Augusto Ferreira do Amaral,Augusto Ferreira do Amaral,male,1942-06-15,,Augusto,Augusto Ferreira do Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16337119,Celeste Cardona,Celeste Cardona,Celeste Cardona,Celeste Cardona,Celeste Cardona,Celeste Cardona,Celeste Cardona,female,1951-06-30,,Celeste,Celeste Cardona,,,,,,Celeste Cardona,,,99470693,Celeste Cardona,,Celeste Cardona,,,,Celeste Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,塞萊斯·特卡多納,,,,,,,,,,,,,,Celeste Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16337640,João Pinho de Almeida,João Pinho de Almeida,João Pinho de Almeida,,João Pinho de Almeida,João Pinho de Almeida,João Almeida,male,1976-09-11,,João,João Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jurist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16485477,Adolfo Mesquita Nunes,Adolfo Mesquita Nunes,Adolfo Mesquita Nunes,Adolfo Mesquita Nunes,Adolfo Mesquita Nunes,Adolfo Mesquita Nunes,Adolfo Mesquita Nunes,male,1977-11-29,,Adolfo,Adolfo Mesquita Nunes,,,,,,,,,,,,,,,,Adolfo Mesquita Nunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
